news_source,agree_disagree,bias_rating,news_source_internal_url,agree,disagree,perc_agree,rating_num
Karol Markowicz,agree disagree 145/249,right,https://www.allsides.com/news-source/karol-markowicz-media-bias,145,249,0.3680203045685279,5.0
Philip Klein,agree disagree 60/135,right-center,https://www.allsides.com/news-source/philip-klein-media-bias,60,135,0.3076923076923077,4.0
"""The Conversation"" Contributor",agree disagree 115/97,left-center,https://www.allsides.com/news-source/conversation-contributor-media-bias,115,97,0.5424528301886793,2.0
"""The Fulcrum"" Contributor",agree disagree 76/95,center,https://www.allsides.com/news-source/fulcrum-contributor-media-bias,76,95,0.4444444444444444,3.0
"""USA Today"" Contributor",agree disagree 106/112,left-center,https://www.allsides.com/news-source/usa-today-contributor-media-bias,106,112,0.48623853211009177,2.0
12 News Now KBMT,agree disagree 62/64,center,https://www.allsides.com/news-source/12-news-now-kbmt-media-bias,62,64,0.49206349206349204,3.0
12News,agree disagree 71/78,center,https://www.allsides.com/news-source/12news-media-bias,71,78,0.47651006711409394,3.0
1819 News,agree disagree 90/148,right-center,https://www.allsides.com/news-source/1819-news-media-bias,90,148,0.37815126050420167,4.0
27 East,agree disagree 67/63,center,https://www.allsides.com/news-source/27-east-media-bias,67,63,0.5153846153846153,3.0
4029 News,agree disagree 61/74,center,https://www.allsides.com/news-source/4029-news-media-bias,61,74,0.45185185185185184,3.0
538 (ABC News),agree disagree 5049/4574,center,https://www.allsides.com/news-source/fivethirtyeight-0,5049,4574,0.5246804530811597,3.0
9 & 10 News,agree disagree 63/73,center,https://www.allsides.com/news-source/9-10-news-media-bias,63,73,0.4632352941176471,3.0
A Project for America,agree disagree 92/90,center,https://www.allsides.com/news-source/project-america-media-bias,92,90,0.5054945054945055,3.0
Aaron Kohrs,agree disagree 66/66,center,https://www.allsides.com/news-source/aaron-kohrs-media-bias,66,66,0.5,3.0
Aaron Rupar,agree disagree 305/182,left,https://www.allsides.com/news-source/aaron-rupar-media-bias,305,182,0.6262833675564682,1.0
Aaron Withe,agree disagree 186/257,right,https://www.allsides.com/news-source/aaron-withe-media-bias,186,257,0.4198645598194131,5.0
AARP,agree disagree 2022/4351,center,https://www.allsides.com/news-source/aarp-media-bias,2022,4351,0.3172760081594226,3.0
ABC 11 WTVD,agree disagree 51/65,center,https://www.allsides.com/news-source/abc-11-wtvd-media-bias,51,65,0.4396551724137931,3.0
ABC 12,agree disagree 56/84,center,https://www.allsides.com/news-source/abc-12-media-bias,56,84,0.4,3.0
ABC 13 WTVG,agree disagree 47/65,center,https://www.allsides.com/news-source/abc-13-wtvg-media-bias,47,65,0.41964285714285715,3.0
ABC 15 Arizona,agree disagree 53/46,center,https://www.allsides.com/news-source/abc-15-arizona-media-bias,53,46,0.5353535353535354,3.0
ABC 16 WAPT,agree disagree 59/70,center,https://www.allsides.com/news-source/abc-16-wapt-media-bias,59,70,0.4573643410852713,3.0
ABC 25 KXXV,agree disagree 61/63,center,https://www.allsides.com/news-source/abc-25-kxxv-media-bias,61,63,0.49193548387096775,3.0
ABC 27 WHTM,agree disagree 63/74,center,https://www.allsides.com/news-source/abc-27-whtm-media-bias,63,74,0.45985401459854014,3.0
ABC 27 WKOW,agree disagree 53/57,center,https://www.allsides.com/news-source/abc-27-wkow-media-bias,53,57,0.4818181818181818,3.0
ABC 4 WTAE,agree disagree 66/54,center,https://www.allsides.com/news-source/abc-4-wtae-media-bias,66,54,0.55,3.0
