Date,Title,Bias Rating
Feb 01 2024,How to end the Middle East’s agony,left
Jan 30 2024,Biden struggles to keep a lid on the Middle East,left
Date not found,Middle East Eye,not rated
Feb 01 2024,A Biden Doctrine for the Middle East Is Forming. And It’s Big.,left
Feb 01 2024,Will America Get Pulled Into Another War in the Middle East?,not rated
Mar 07 2024,Middle East Crisis: South Africa Asks U.N. Court to Act as Hunger Worsens in Gaza,left
Jan 30 2024,How Biden Can Avoid Broadening the War in the Middle East,left
Dec 26 2023,Fears grow of a wider Middle East conflict,center
Jan 10 2024,Blinken Rallying Middle East for 'Pathway to a Palestinian State',right
Feb 12 2024,King of Jordan to visit White House to discuss ongoing conflicts in the Middle East,center
Jan 21 2024,Building vandalized during rally regarding conflict in Middle East,center
Feb 02 2024,US begins Middle East airstrikes in response to deaths of three soldiers,right
Jan 05 2024,Blinken Returns to Middle East as Tensions Grow With Israel,left
Jan 30 2024,The US pulled resources out of the Middle East. Now it is rethinking that decision.,left
Jan 30 2024,NJ Man ID'd As 1 Of 3 Soldiers Killed In Middle East Drone Strike,center
Jan 11 2024,Oil Rises Sharply Amid Escalation of Tensions in Middle East,center
Jan 10 2024,Blinken Returns to Failed 'Palestine First' Model for Middle East,right
Jan 07 2024,"Blinken in Middle East, Seeking to Avert Wider War in Region",right
Jan 31 2024,Biden Stands at the Precipice of a Greater War in the Middle East and His Political Future,left
Jan 31 2024,"Iranian Regime Threatens Response to Attacks on Territory, Heightens Middle East Tension",center
Oct 13 2023,Inside MSNBC’s Middle East conflict,left
Feb 15 2024,Middle East Crisis: Egypt Is Building a Wall Near Gaza Border But Won’t Say Why,left
Feb 02 2024,US strikes targets after Middle East drone attack kills three reservists,left
Jan 05 2024,Secretary of Defense Lloyd Austin hospitalized amid Middle East missions,left
Feb 19 2024,Middle East conflict live updates: Palestinian U.N. envoy urges ICJ to rule Israeli occupation illegal,left
Jan 28 2024,Three US soldiers killed and 25 hurt in drone attack in Middle East escalation,left
Jan 04 2024,Deadly Bombing in Iran Kills Dozens as Middle East Tensions Rise,left
Oct 13 2023,Has Washington’s Middle East Policy Failed?,center
Oct 10 2023,What Hamas is trying to accomplish in the Middle East,left
Oct 08 2023,A Surprise Attack Upends Israel and the Middle East,left
Nov 06 2023,US guided missile submarine arrives in Middle East,center
Nov 05 2023,Biden's policy fails to match vision for Middle East,right
Date not found,Middle East,not rated
Oct 13 2023,Muslims Across Middle East Rally in Support of Palestinians,center
Oct 10 2023,Hamas attack challenges Biden’s goals in Middle East,center
Oct 09 2023,The Jolt: Middle East crisis roils Georgia politics,left
Nov 06 2023,US military deploys nuclear-powered submarine in Middle East,right
Jan 30 2024,Middle East conflict live updates: Biden blames Iran for supplying weapons that killed 3 U.S. troops in Jordan,left
Feb 12 2024,Middle East latest: What Biden reportedly calls Netanyahu in private; Israeli troops 'shielded hostages with their bodies' in rescue raid,left
Jan 29 2024,Biden: 3 troops killed was ‘a tough day last night in the Middle East ... We shall respond’,center
Jul 27 2023,Biden Is Weighing a Big Middle East Deal,left
Feb 19 2021,Middle East policy,not rated
Jan 08 2024,"Blinken to meet with leaders of Saudi Arabia, UAE with aim to avert larger Middle East war",center
Oct 18 2023,Cairo Film Festival Canceled as Violence Escalates in Middle East,left
Oct 17 2023,‘The US doesn’t have a grip in the Middle East’: Analyst,center
Oct 18 2023,The bombing of a hospital in Gaza sparks protests across the Middle East,left
Oct 16 2023,Global markets brace for impact as Middle East tensions rise,right
Jul 22 2022,A Paradoxical Moment for the Middle East,right
Mar 16 2023,China’s Middle East Power Play,right
Dec 05 2023,Biden attends fundraising event as Boston protesters call for ceasefire in Middle East,left
Mar 08 2024,Washington Middle School evacuated for gas leak,center
Oct 11 2023,Marines on the move in Middle East 'as a result of emerging events',right
Jan 30 2024,"In Wake Of U.S. Troops Killed, Former Middle East Centcom Chief For Trump, Biden Says Go After Iran",right
Oct 08 2023,EUROPE Oil jumps as Middle East strife shakes markets,center
Nov 08 2023,46 US troops injured in drone attacks in Middle East: Pentagon,center
Jan 12 2024,Oil Prices Surge. U.S.-Led Strikes on Houthis Raise Fears of Wider Middle East Conflict.,center
Mar 14 2024,Baltimore County police responds to double shooting in Middle River,center
Jan 07 2024,McDonald’s CEO says 'misinformation' over Israel/Hamas war hurting company's Middle East business,right
Mar 14 2024,"EAST CAROLINA 84, TULSA 79",center
Oct 26 2023,21 US service members injured in drone attacks in Middle East,center
Nov 20 2023,"With all eyes on the Middle East, does the west have a viable strategy for Ukraine?",center
Jan 30 2024,"In Just Four Months, Biden Admin Went From Bragging About Middle East Peace To Admitting Things Were Spiraling",right
Oct 23 2023,Joe Biden Enjoys Breezy Beach Walks as Middle East Explodes,right
Mar 14 2024,"Two men shot, killed in parking lot of Middle River bar",left
Oct 18 2023,Biden stands with Israel but US diplomacy challenges remain in the Middle East,left
Oct 18 2023,"Biden vows aid for Gaza, Israel as protests rock Middle East",center
Oct 17 2023,"NY Gov. Hochul, unapologetically pro-Israel, heads to the Middle East",center
Oct 17 2023,Biden’s trip to Israel poses risks amid Middle East unrest,center
Oct 18 2023,"#487: The Media Runs With Terrorist Propaganda, Setting the Middle East on Fire",right
Oct 18 2023,Cairo International Film Festival canceled as Middle East tensions rise,center
Nov 09 2023,US forces under fire in Middle East as America slides towards brink,center
Nov 29 2023,Activists wanted a Middle East cease-fire. They got something else from Dems.,left
Nov 06 2023,US Ohio-class nuclear submarine deployed to Middle East amid tensions,center
Nov 06 2023,"US military sends ‘unmistakable message,’ deploys nuclear submarine in Middle East",right
Mar 14 2024,School Spotlight: Plainfield East High School,left
Oct 07 2023,Middle East leaders praise and condemn Hamas attacks against Israel,left
Mar 13 2024,One man dies in East Baltimore shooting,center
Mar 13 2024,Foodstuffs: Easter Specials at East End Eateries,center
Mar 08 2024,Tuscaloosa woman charged with a threat targeting Northridge Middle School,left
Mar 08 2024,Tuscaloosa woman charged with a threat targeting Northridge Middle School,center
Mar 13 2024,East Haven firefighters going bald for a cause,center
