state,weighted_sentiment_score,comment_count
Alabama,-0.19527704632559487,135.0
Arkansas,-0.22682598503661458,95.0
California,0.00263180616262249,224.0
Colorado,-0.11686171681332073,224.0
Connecticut,-0.475845190747541,291.0
Delaware,-0.3574740444630209,95.0
Georgia,-0.29418816997335767,101.0
Hawaii,-0.3933982086832975,132.0
Idaho,-0.3262307296502284,240.0
Indiana,-0.531927619941062,268.0
Iowa,-0.4910550156192293,290.0
Kentucky,-0.650531402985155,240.0
Louisiana,-0.4690645289154014,64.0
Maine,-0.2622026244945207,271.0
Michigan,-0.4466690775949691,765.0
Montana,-0.2213584876859311,135.0
Nebraska,-0.5966620326042176,6.0
Nevada,0.06733833461224892,88.0
NewMexico,0.3466032433874753,137.0
NorthCarolina,-0.4917803769948714,253.0
Ohio,-0.3570459958548858,530.0
Oklahoma,-0.34561239865420098,345.0
Pennsylvania,-0.49501528643150794,415.0
RhodeIsland,-0.46591491579771754,113.0
SouthDakota,-0.4328052933840828,31.0
Tennessee,-0.5163523537947157,103.0
Texas,-0.272856745522655,612.0
Utah,0.03242151314877856,523.0
Virginia,-0.5118082594828717,183.0
Washington,-0.43284379756429253,76.0
WestVirginia,-0.27400770376368266,68.0
alaska,-0.09305797253562285,94.0
arizona,-0.036374193189467066,163.0
florida,-0.48258297404889283,266.0
illinois,-0.6155779909915966,188.0
kansas,-0.08963682106200685,42.0
maryland,-0.33996106034775014,200.0
massachusetts,-0.43245201502273334,297.0
minnesota,-0.4404601403946905,819.0
mississippi,-0.13028307860752322,60.0
missouri,-0.4875697431564331,118.0
newhampshire,-0.4075700074236914,236.0
newjersey,-0.35306484828873047,445.0
newyork,-0.04259234666824341,37.0
northdakota,-0.1904849849515042,41.0
oregon,-0.4208087546162594,1095.0
southcarolina,-0.44498078775009026,127.0
vermont,-0.3415068540932322,244.0
wisconsin,-0.45733476203548235,433.0
wyoming,0.46248364526501123,141.0
