state,weighted_sentiment_score,comment_count
Alabama,-0.2868559934309181,1589.0
Arkansas,-0.2698402587073516,1374.0
California,-0.05047268947263928,772.0
Colorado,-0.14733722991452125,408.0
Connecticut,-0.15142023216650138,2777.0
Delaware,-0.28210714824010485,729.0
Georgia,-0.285018133033629,1252.0
Hawaii,-0.23699754881849963,3464.0
Idaho,-0.3595974975279463,741.0
Indiana,-0.3298052948543932,1723.0
Iowa,-0.28987648268549004,4186.0
Kentucky,-0.2628292263422993,942.0
Louisiana,-0.34901572936521413,543.0
Maine,-0.2724457830332913,2160.0
Michigan,-0.3681243325782279,8372.0
Montana,-0.2109836530694584,318.0
Nebraska,-0.31093493165152514,336.0
Nevada,-0.12241059731578563,242.0
NewMexico,-0.210684238407589,360.0
NorthCarolina,-0.3108689119958236,3251.0
Ohio,-0.3025993375238233,3266.0
Oklahoma,-0.43219876512300987,2987.0
Pennsylvania,-0.3240993411613608,3095.0
RhodeIsland,-0.2511182900745627,1226.0
SouthDakota,-0.275647463879284,328.0
Tennessee,-0.31301752992202786,802.0
Texas,-0.2912610575783691,4327.0
Utah,-0.27402490881497715,736.0
Virginia,-0.038245595292762995,1401.0
Washington,-0.2625872122603346,449.0
WestVirginia,-0.07995568127970795,267.0
alaska,-0.23735567834722535,833.0
arizona,-0.15853941329826102,910.0
florida,-0.2889808822379184,5855.0
illinois,-0.32852249627273306,1464.0
kansas,-0.19390013318809662,529.0
maryland,-0.060944429492320325,5458.0
massachusetts,-0.24753359213287912,2009.0
minnesota,-0.19866483784028532,4464.0
mississippi,-0.29671236417151775,669.0
missouri,-0.2599444739994883,973.0
newhampshire,-0.25360919107774677,1804.0
newjersey,-0.1753952974914122,6443.0
newyork,-0.29850923052770295,361.0
northdakota,-0.35269790602898277,392.0
oregon,-0.30488266802809666,1831.0
southcarolina,-0.24801877120362018,1192.0
vermont,-0.1333755473594834,1072.0
wisconsin,-0.3824439277820418,4038.0
wyoming,-0.21911079941115663,198.0
