state,weighted_sentiment_score,comment_count
Alabama,-0.36185853273408136,591.0
Arkansas,-0.3336396934545388,533.0
California,-0.15095841507015778,2656.0
Colorado,-0.3440460403059043,651.0
Connecticut,-0.18296040185386966,1991.0
Delaware,-0.39242062350729484,461.0
Georgia,-0.3113536397564669,507.0
Hawaii,-0.20834880341950618,767.0
Idaho,-0.3392450201745127,291.0
Indiana,-0.405178596323546,793.0
Iowa,-0.33596504867196186,1418.0
Kentucky,-0.35994623917097024,992.0
Louisiana,-0.3714093645684451,379.0
Maine,-0.36045243807937505,1170.0
Michigan,-0.2597512955309327,2780.0
Montana,-0.20280105756632086,206.0
Nebraska,-0.40639279369570785,158.0
Nevada,-0.24335964811204674,60.0
NewMexico,-0.3006422537597802,116.0
NorthCarolina,-0.3320554802098476,1645.0
Ohio,-0.2923924406222759,1161.0
Oklahoma,-0.34276189658976543,498.0
Pennsylvania,-0.3298599179443363,998.0
RhodeIsland,-0.10477270509719441,392.0
SouthDakota,-0.20568162700924036,80.0
Tennessee,-0.47994712085214725,322.0
Texas,-0.3652478377739658,3615.0
Utah,-0.15936496459292349,251.0
Virginia,-0.24412407606344005,716.0
Washington,-0.2092605534754202,252.0
WestVirginia,-0.2955389978572321,223.0
alaska,-0.2604049430453526,468.0
arizona,-0.2749506416847141,319.0
florida,-0.39957871472691187,1594.0
illinois,-0.3290033308349974,631.0
kansas,-0.30625198202000725,390.0
maryland,-0.21847990245552817,1015.0
massachusetts,-0.17991965600678395,694.0
minnesota,-0.22997489087773412,2501.0
mississippi,-0.3082539027439799,333.0
missouri,-0.48179630790937017,469.0
newhampshire,-0.24400877030150403,566.0
newjersey,-0.2513149237491513,2386.0
newyork,-0.3303192917017206,177.0
northdakota,-0.340823838532528,121.0
oregon,-0.33706825208329483,813.0
southcarolina,-0.4053650898855812,387.0
vermont,-0.2136190775005559,579.0
wisconsin,-0.3384431053779467,1682.0
wyoming,-0.37153904562911017,141.0
