state,weighted_sentiment_score,comment_count
Alabama,-0.3769499706650228,1690.0
Arkansas,-0.43725050134938037,438.0
California,-0.32630671491390284,535.0
Colorado,-0.30983689025931355,294.0
Connecticut,-0.48461642820649126,359.0
Delaware,-0.47120626979186886,124.0
Georgia,-0.5122420359546416,761.0
Hawaii,-0.3132049475513464,134.0
Idaho,-0.43227419969351855,101.0
Indiana,-0.5008306875225137,536.0
Iowa,-0.4630629430254176,1396.0
Kentucky,-0.5101735872807206,914.0
Louisiana,-0.3969739219710757,339.0
Maine,-0.4774764080574176,448.0
Michigan,-0.5098741217872297,1232.0
Montana,-0.4958777109288281,36.0
Nebraska,-0.5841534266390475,77.0
Nevada,-0.7742593788875723,13.0
NewMexico,-0.26628332818397366,19.0
NorthCarolina,-0.5024227727293283,881.0
Ohio,-0.4806333248779749,1913.0
Oklahoma,-0.43256123987612345,580.0
Pennsylvania,-0.4712226978134389,588.0
RhodeIsland,-0.5195637091787325,142.0
SouthDakota,-0.6485707142868558,69.0
Tennessee,-0.5836464776036988,501.0
Texas,-0.5182949869488119,3819.0
Utah,-0.3792011795587306,162.0
Virginia,-0.43761237113558626,735.0
Washington,-0.6002843358525725,115.0
WestVirginia,-0.46459033365182356,101.0
alaska,-0.39014708938356246,163.0
arizona,-0.6560388373411619,58.0
florida,-0.48436664837830096,715.0
illinois,-0.3109589463358631,405.0
kansas,-0.4703268046819498,532.0
maryland,-0.37531411559744315,313.0
massachusetts,-0.6010725281426105,149.0
minnesota,-0.44111914055125356,673.0
mississippi,-0.4169602562567015,292.0
missouri,-0.544794833342644,771.0
newhampshire,-0.263634832862478,121.0
newjersey,-0.47051080436425574,772.0
newyork,-0.33513922224935344,77.0
northdakota,-0.5208446108893062,101.0
oregon,-0.4089354377065622,368.0
southcarolina,-0.5856351383306362,198.0
vermont,-0.4453724161796631,229.0
wisconsin,-0.5155731411844864,967.0
wyoming,-0.33785546070604183,25.0
