Date,Title,News Source,Bias Rating,Full Article Link,Article Text
Dec 07 2023,Judge allows an abortion,Tulsa World,center,https://tulsaworld.com/judge-allows-an-abortion/image_ec60c7a8-08bb-5f4c-b152-c620e917ad7f.html,"Register for more free articles. Sign up for our newsletter to keep reading.

Be the first to know Get local news delivered to your inbox! Sign up! Already a Subscriber? Already a Subscriber? Sign in Terms of Service Privacy Policy"
Jan 26 2024,Tennessee State Lawmaker Introduces Bill To Create Penalty For Abortion Trafficking,The Daily Wire,right,https://dailywire.com/news/tennessee-state-lawmaker-introduces-bill-to-create-penalty-for-abortion-trafficking,
Jan 26 2024,Arkansas AG certifies abortion ballot initiative after rejecting it twice,The Christian Post,right,https://christianpost.com/news/arkansas-ag-certifies-abortion-amendment-for-2024-ballot.html,"Home News Arkansas AG certifies abortion ballot initiative after rejecting it twice

Arkansas Attorney General Tim Griffin certified a referendum proposal that, if passed, would guarantee a limited right to an abortion, provided supporters can garner enough signatures to get it on the ballot.

In an opinion issued Tuesday, Griffin greenlit pro-choice supporters to get signatures for the Arkansas Abortion Amendment of 2024, having previously rejected the proposal twice for assorted technical reasons, which have since been rectified.

While approving the referendum, Griffin, a Republican, gave ""a cautionary note"" to the petitioners, noting that ""experience has shown a correlation between the length and complexity of initiated measures and their susceptibility to a successful ballot-title challenge.""

Get Our Latest News for FREE Subscribe to get daily/weekly email with the top stories (plus special offers!) from The Christian Post. Be the first to know. Subscribe

""Any ambiguity in the text of a measure could lead to a successful court challenge. Significant changes in law often have unintended consequences that, if known, would give voters serious ground for reflection,"" stated Griffin.

Arkansans for Limited Government, the group behind the proposed amendment, noted in a statement Wednesday that the next step in its efforts will be to gather enough signatures from state voters, with the official kickoff for the effort being on Sunday.

""AFLG invites Arkansans across the state and political spectrum to come together and restore reproductive rights in Arkansas,"" stated the group. ""Everyone is encouraged to volunteer for signature collection and donate to the campaign.""

""This is a crucial step forward in restoring reproductive freedom for Arkansans. AFLG is especially grateful to the AG's staff, whose professionalism and expertise emblematizes true public service.""

The proposed amendment seeks to legalize abortion for up to 18 weeks after conception or under special circumstances, including rape, incest, a diagnosed fatal fetal anomaly or if the mother is facing a life-threatening emergency.

The Arkansas Family Council President Jerry Cox, whose organization is based in Little Rock, said in a statement that the proposed measure was ""a radical amendment legalizing abortion in a way Arkansas has never seen before.""

""It writes abortion into the Arkansas Constitution. It erases virtually all of Arkansas' pro-life laws, and it allows abortion on demand without restriction through the first eighteen weeks of pregnancy,"" Cox said.

""As many as three thousand unborn children could be aborted in Arkansas each year because of this amendment, and the State of Arkansas would be powerless to prevent it.""

Arkansas law prohibits abortion unless it is necessary to save the life of the mother, and the state constitution does not put any limits on the state government to restrict abortion access.

Griffin twice refused to certify the proposed amendment due to issues regarding the measure's language, arguing that certain phrases were too partisan or poorly defined.

In a letter outlining his second rejection, Griffin had said that the way the proposed amendment had misleadingly defined the term ""physical health.""

The amendment language at the time had defined ""physical health"" as ""a physical disorder, physical illness, or physical injury … caused by or arising from the pregnancy itself, or when continuation of the pregnancy will create a serious risk of substantial impairment of a major bodily function.""

""It defines 'physical health,' not as the absence of disorder, illness, or injury, but as the presence of those things,"" wrote Griffin. ""That is the opposite of the common meaning of 'health.'""

""I suspect you intended something like this: to permit 'abortion services' when, among other things, they 'are needed to protect the pregnant female from a physical disorder, physical illness, or physical injury.'"""
Feb 07 2024,"Florida Supreme Court hears oral arguments on pro-abortion amendment, rival groups rally",Florida's Voice,right,https://flvoicenews.com/florida-supreme-court-hears-oral-arguments-on-pro-abortion-amendment-rival-groups-rally,"TALLAHASSEE, Fla. – The Florida Supreme Court is hearing oral arguments regarding a ballot initiative enshrining a right to abortion in the state to appear before voters on Nov. 5.

Pro-life and pro-abortion demonstrators are in Tallahassee voicing their support and opposition to restrictions on abortion.

WATCH: Pro-life activist @frFrankPavone at the Florida Supreme Court opposing ballot initiative legalizing abortion



""They have lost, they're continuing to lose, they're afraid of the fight, and we are advancing, brothers and sisters. We are not retreating."" pic.twitter.com/Yy8JuZCvHn — Florida’s Voice (@FLVoiceNews) February 7, 2024

WATCH: Pro-life rally at Florida Supreme Court ahead of hearing on pro-choice constitutional amendment proposal



Rep. @WebsterBarnaby: ""The earth is the Lord's. It does not belong to these baby killers […] Welcome to planet earth, where we love people, from the womb to tomb."" pic.twitter.com/alLviN6aaJ — Florida’s Voice (@FLVoiceNews) February 7, 2024

Florida Attorney General Ashley Moody is arguing against the initiative, saying the language of the initiative is misleading, vying for it to be legally disqualified from appearance on the ballot.

The court is also still going to issue a decision on upholding or striking down Florida’s 15-week abortion ban. If upheld, the state’s six-week ban would take effect.

BREAKING: Florida House Democratic Leader @FentriceForFL Driskell says Democrats have no stance on when life begins



""No. I think that people can decide that for themselves. The crux of this hinges on viability, and that should be left to science and medical experts."" pic.twitter.com/CdTbXtkFbn — Florida’s Voice (@FLVoiceNews) February 7, 2024

HAPPENING TODAY: FL Supreme Court will be hearing arguments on the abortion ballot initiative.



FDP Chair @NikkiFried is on the ground in solidarity with coalitions of supporters to protect our reproductive rights. pic.twitter.com/x11Fajgd3K — Florida Democrats (@FlaDems) February 7, 2024

Below is the language of the amendment, which would constitutionally protect abortion, overriding any state laws, before “viability” or when the woman’s health is in jeopardy."
Jan 20 2024,Thousands Attend March For Life Hoping To Make Abortion 'Unthinkable',The Federalist,right,https://thefederalist.com/2024/01/20/thousands-of-pro-lifers-attend-march-for-life-hoping-to-make-abortion-unthinkable,"“With every woman, for every child.”

This was the slogan for the 51st annual March for Life in Washington, D.C. on Friday where thousands of pro-life Americans gathered despite snow and frigid temperatures. The annual march marks the anniversary of Roe v. Wade, the Supreme Court ruling that legalized abortion nationwide for nearly 50 years.

Americans of all ages and faith backgrounds gathered at the rally before the march began with a view of the Capitol building in front and a view of the Washington Monument behind them. Young high school students built a snowman while others of all ages gathered in joy to witness and celebrate the beauty of life.

While thousands gathered to hear a variety of speeches, a video played on repeat, speaking to how the death and darkness of abortion will only end with an approach of hope and love. Those gathered were invited to be the light in the darkness, and a voice for unborn babies who have no voice.

The video also referenced, as did many speakers at the rally, that the overturn of Roe v. Wade was a big step but that much is still to be done, promising to “not stop marching until abortion is unthinkable.”

“We are not done. We will keep marching every January at the national level, as well as in our states, until our nation’s laws reflect the basic truth that all human life is created equal and is worthy of protection,” said March for Life President Jeanne Mancini.

House Speaker Mike Johnson, R-La., gave the opening remarks. He spoke about how the birth certificate of America, the Declaration of Independence, bluntly references the fact that our rights do not come from the government but from our Creator.

Johnson also noted that his existence was the result of an unplanned pregnancy. His parents were teenagers when they found out they were pregnant. Johnson showed gratitude to his parents for choosing life, expressing just how blessed he was for that decision.

Jean Marie Davis, executive director of Branches Pregnancy Resource Center, and single mom and author Aisha Taylor, both spoke at the rally about how pregnancy resource centers saved the lives of their children. When they needed help and had nowhere to go, they reached out to one of these centers and were given a similar message: “How can we help you and support you?”

Both women noted that those conversations helped them to have the courage to keep their baby and not get an abortion. Now they could never consider life without their unplanned children.

There are over 2,700 pregnancy centers around the country. While the Biden administration desires to decrease their funding, these centers save lives every year and support mothers with over $300 million of donations in diapers, clothing, baby formula, and other necessities. Keeping these facilities open and available while championing the good they do was a clear message from the rally.

University of Michigan head coach Jim Harbaugh, who just clinched the national college football championship a few weeks ago, also shared some words at the rally. “This is a great day for a march. It is football weather,” Harbaugh said, before noting what a great witness to the sanctity of life is being set by the thousands gathered.

[READ: UM Coach Jim Harbaugh Champions Right To Life Following Football Championship]

Once the walk to the Capitol building and Supreme Court began, thousands of pro-lifers filled the streets. Along the route, you could visibly see groups wearing color-coordinated scarves and hats. There were groups from Michigan, New Jersey, Texas, Indiana, New York and countless others who had traveled across the country to march.

Along the way, you could hear some groups praying the rosary while others sang songs and some led chants in support of the pro-life cause. Not long into the route, a bright yellow sign caught my eye: “Caution genocide content ahead.”

Soon there was a massive television in sight showing pictures of aborted babies. There was even a recording of a baby crying during an abortion. As a father of two, this was the most jarring part of the event. It was explicit and real. But it was true.

The reason why so many made their way through the bitter cold and snow to walk the streets of the nation’s capital was encapsulated by the chants, songs, and images of the day. Those who marched love life. They love families and they love babies.

Speaking to some participants on this cold day their messages were similar. “We come to give voice to the voiceless. We march out of love for life. Protecting their right to life is why we march.”

May the goal of the March for Life come true: let’s make abortion unthinkable because every life has infinite value.

Thomas Griffin teaches in the Religion Department at a Catholic high school and lives on Long Island with his wife and son. He has a master’s degree in theology and is currently a masters candidate in philosophy. Follow his latest content at EmptyTombProject.org"
Jan 25 2024,N.D. judge won’t block part of abortion putting doctors at risk,Minnesota Lawyer,center,https://minnlawyer.com/2024/01/25/n-d-judge-wont-block-part-of-abortion-putting-doctors-at-risk,"Listen to this article Listen to this article

BISMARCK, N.D. — A North Dakota judge ruled Tuesday that he won’t block a part of a state law that doctors say puts them at risk of prosecution if they perform an abortion to save a patient’s life or health.

State District Judge Bruce Romanick said the request for a preliminary injunction “is not appropriate and the Plaintiffs have presented no authority for the Court to grant the specific relief requested.” The lawsuit will continue to play out in court, with a jury trial set for August.

The request asked the judge to bar the state from enforcing the law against physicians who use their “good-faith medical judgment” to perform an abortion because of complications that could pose “a risk of infection, hemorrhage, high blood pressure, or which otherwise makes continuing a pregnancy unsafe.”

Physicians face “the harm of having the threat of criminal prosecution hanging over their head every time they treat a patient with a medical complication,” attorney Meetra Mehdizadeh, of the Center for Reproductive Rights, said in court arguments last month.

In a statement Tuesday, Mehdizadeh said, “Though we are disappointed by today’s decision, the court did not reach the constitutional questions at the heart of this case, and we remain confident that we will prevail after the court hears further evidence of how this law harms pregnant North Dakotans.”

North Dakota outlaws abortion except for cases in which women could face death or a “serious health risk.” People who perform abortions could be charged with a felony under the law, but patients would not.

The judge said the plaintiffs appeared to request that he, “by way of a preliminary injunction, change application of the exception from ‘reasonable medical judgment’ to ‘good faith medical judgment.’ Plaintiffs have cited the Court with no legal authority that would allow the Court to re-write the statute in this manner under the pretense of providing injunctive relief.”

The state’s revised abortion laws also provide an exception for pregnancies caused by rape and incest, but only in the first six weeks, before many women know they are pregnant. It also allows for treatment of ectopic and molar pregnancies, which are nonviable situations.

Republican state Sen. Janne Myrdal, who brought the 2023 bill revising revising the laws, welcomed the judge’s ruling.

“I think we have something that’s very clear for physicians to see,” she said. “I think it’s common sense what we put in as far as the health exceptions, and it goes with the intent of the legislators, so I applaud this judge for reading into it and realizing that the authority lies with us, as far as writing the law, and interpreting it simply shouldn’t be that hard for the physicians.”

The Red River Women’s Clinic sued the state in 2022 after the U.S. Supreme Court’s Dobbs decision, which overturned the court’s landmark 1973 Roe v. Wade ruling establishing a nationwide right to abortion.

The lawsuit targeted the state’s since-repealed trigger ban — designed to go into effect immediately if the court overturned Roe v. Wade — as unconstitutional. The clinic moved from Fargo to neighboring Moorhead, Minnesota, where abortion is legal.

The judge granted a preliminary injunction blocking the ban from taking effect in 2022, a decision the state Supreme Court upheld in March.

Chief Justice Jon Jensen wrote in the court’s decision that “it is clear the citizens of North Dakota have a right to enjoy and defend life and a right to pursue and obtain safety, which necessarily includes a pregnant woman has a fundamental right to obtain an abortion to preserve her life or her health.”

Soon afterward, North Dakota’s Republican-controlled Legislature passed a bill revising the state’s abortion laws, which Gov. Doug Burgum signed in April.

In June, the clinic filed an amended complaint, joined by several doctors in obstetrics, gynecology and maternal-fetal medicine."
Jan 19 2024,Abortion-rights opponents brave snow for March for Life rally,The Hill,center,https://thehill.com/policy/healthcare/4418585-abortion-rights-opponents-brave-snow-for-march-for-life-rally/,Failed to retrieve text: Article `download()` failed with 429 Client Error: Unknown Error for url: https://thehill.com/policy/healthcare/4418585-abortion-rights-opponents-brave-snow-for-march-for-life-rally/ on URL https://thehill.com/policy/healthcare/4418585-abortion-rights-opponents-brave-snow-for-march-for-life-rally/
Jan 29 2024,Pennsylvania high court revives case challenging limits on Medicaid coverage for abortions,WHYY,center,https://whyy.org/articles/pennsylvania-supreme-court-abortion-limits-medicaid,"The justices who did agree also noted that, while the government was not constitutionally obligated to provide public funding for any medical care, if the state did so, it would be required to provide patients access to abortions “to maintain neutrality so as not to intrude upon the constitutional right to full reproductive autonomy, which includes the right to terminate a pregnancy.”

The ruling does not mean that abortions will automatically be covered by the state’s Medicaid disbursement program. Rather, the court sent the case back to the lower court which will have to grant the petitioners their request for a hearing and resolve the issue under the new framework set by the higher court.

A group of Pennsylvania abortion providers filed the lawsuit in 2019, arguing the state’s Medicaid abortion coverage ban violated the Equal Rights Amendment and equal protection provisions of the Pennsylvania Constitution. Eventually, they petitioned the state Supreme Court, which heard oral arguments in October of 2022, leaving the petitioners waiting for the decision until today.

Local pro-choice activists expressed elation after the decision was announced.

“The Court gave our clients an enormous victory this morning,” Women’s Law Project co-executive director Susan J. Frietsche, one of attorneys who argued the case before the Court on behalf of the providers, told WHYY News. “The handling of this matter by the Pennsylvania Supreme Court was deep, scholarly, thoughtful, complex and very connected to the reality of women’s experience.”

Advocates on the other side lamented the decision, such as Maria Gallagher, Legislative Director for the Pennsylvania Pro-Life Federation, who accused the Supreme Court of activism.

“This is a tragic development in Pennsylvania,” Gallagher told WHYY News. “There used to be a time when they just kept their opinions on certain issues out of their court rulings. I fear that with this ruling we’re seeing ideology trumping justice.”

The ruling means the Commonwealth may soon become the 18th state in the Union to provide Medicaid funding for abortions beyond the restrictions imposed by the federal government. The Hyde Amendment, first passed in 1977, bars the use of federal funds to pay for abortion, except to save the life of the woman, or if the pregnancy arises from incest or rape. However, states are empowered to use Medicaid funds for the procedure if they so choose.

The laws in the 32 other states, along with Washington, D.C., currently follow or parallel the federal standard. Fourteen of those states, such as Alabama, Louisiana, Kentucky, and Texas, outlawed abortion following the Dobbs v. Jackson U.S. Supreme Court decision overturned Roe V. Wade. Several others have placed severe restrictions, making abortion almost completely inaccessible.

National pro-choice advocates also see the ruling as the latest development in a nation deeply divided by the question.

“These Medicaid bans have harmed the most vulnerable the stakeholders, people of color, poor people, rural people,” Lizz Winstead, founder of Abortion Access Front told WHYY News. “Thank God, that’s a right in the Pennsylvania constitution. And thank God the Pennsylvania Supreme Court said you cannot be discriminated against because you need help from your government. If that help means access to abortion, you deserve that.”

Chief Justice Debra Todd dissented overall, arguing that the court is bound by its unanimous 1985 decision that originally affirmed the 1982 law. Justice Sallie Updyke Mundy added that there wasn’t a right to taxpayer money to pay for abortions. However, enough justices agreed that a review is in order and the ruling lower court must decide whether Medicaid can indeed cover the procedures in Pennsylvania."
Jan 29 2024,Pennsylvania high court revives case challenging limits on Medicaid coverage for abortions,Erie News Now WICU/WSEE,center,https://erienewsnow.com/story/50395580/pennsylvania-high-court-revives-case-challenging-limits-on-medicaid-coverage-for-abortions,Failed to retrieve text: Article `download()` failed with 410 Client Error: Gone for url: https://www.erienewsnow.com/story/50395580/pennsylvania-high-court-revives-case-challenging-limits-on-medicaid-coverage-for-abortions on URL https://erienewsnow.com/story/50395580/pennsylvania-high-court-revives-case-challenging-limits-on-medicaid-coverage-for-abortions
Jan 29 2024,Pennsylvania high court revives case challenging limits on Medicaid coverage for abortions,Washington Post,left,https://washingtonpost.com/national/2024/01/29/pennsylvania-abortion/1e810352-beca-11ee-a4c6-8f5c350e9316_story.html,"Recipes

What do you want to cook today?"
