state,weighted_sentiment_score,comment_count
Alabama,-0.3255188680450041,621.0
Arkansas,-0.4125203437996457,418.0
California,0.06044759662993399,3618.0
Colorado,-0.2412846053056159,699.0
Connecticut,-0.2060237114778251,2432.0
Delaware,-0.25551799295363936,358.0
Georgia,-0.31794056087785966,533.0
Hawaii,-0.21922651905246832,2263.0
Idaho,-0.36730066578365067,403.0
Indiana,-0.4030139070614756,829.0
Iowa,-0.3637118170799888,1571.0
Kentucky,-0.28939785942435264,835.0
Louisiana,-0.3568830283609915,476.0
Maine,-0.2738906293871561,1746.0
Michigan,-0.44664093225500423,3815.0
Montana,-0.2241627446763968,242.0
Nebraska,-0.2530244076507495,180.0
Nevada,-0.28755042743978015,141.0
NewMexico,-0.40974229052702843,258.0
NorthCarolina,-0.33265414217976785,1967.0
Ohio,-0.3585031882915587,1664.0
Oklahoma,-0.23415462239876134,507.0
Pennsylvania,-0.43965478412533543,1490.0
RhodeIsland,-0.40192154439323685,623.0
SouthDakota,-0.29378240456470867,97.0
Tennessee,-0.23455282782085637,289.0
Texas,-0.24195028886074973,3987.0
Utah,-0.15379085094323053,365.0
Virginia,-0.36427066046471746,743.0
Washington,-0.22358589248199548,354.0
WestVirginia,-0.16144074244605852,454.0
alaska,-0.2310471055819683,1140.0
arizona,-0.23190591031483035,440.0
florida,-0.3823669026659663,2434.0
illinois,-0.3203856824045214,1299.0
kansas,-0.2969131666604697,377.0
maryland,-0.24335167276739866,1335.0
massachusetts,-0.2148370469448463,697.0
minnesota,-0.09559509875556439,3008.0
mississippi,-0.2579091023276957,407.0
missouri,-0.4852600391135196,470.0
newhampshire,-0.3108416806306594,813.0
newjersey,-0.2797196593190013,2875.0
newyork,-0.14555995635790367,265.0
northdakota,-0.23868735965400462,213.0
oregon,-0.2956989504347857,1103.0
southcarolina,-0.3196168045850064,474.0
vermont,-0.19710429739988536,956.0
wisconsin,-0.3482873880936668,1994.0
wyoming,-0.16752742680948599,326.0
