Date,Title,News Source,Bias Rating,Full Article Link,Article Text
Oct 04 2022,Republicans offer a real healthcare alternative,Washington Examiner,right,https://www.washingtonexaminer.com/restoring-america/community-family/republicans-offer-a-real-healthcare-alternative,"With their Commitment to America, Republicans have departed significantly from Democrats‘ big government agenda. Nowhere is that clearer than on healthcare.

Over the last few years, progressives have made clear their intention to replace the market-based healthcare system with a single, government-run insurance program. Republicans‘ Commitment to America, by contrast, seeks to improve the current system by introducing greater choice, transparency, and competition. That’s largely what the public wants from healthcare policy. A recent Echelon Insights poll sponsored by the organization I lead, the Pacific Research Institute, found that 86% of people are satisfied with their current health plan.

OUR INSTITUTIONS ARE LEGITIMATE SO LONG AS THE LEFT IS IN CHARGE

To the extent they are dissatisfied, the survey revealed that high premiums, deductibles, and copays — and overly restrictive access to doctors — are largely to blame. In other words, patients are looking for reforms that make the current system more affordable while removing the red tape that gets between them and their doctors. That’s what the GOP is pitching. Look at the recommendations of the party’s Healthy Future Task Force, which were released in June. Among other things, they propose to make coverage more portable and expand access to tax-advantaged health savings accounts.

The plan also includes strategies for improving price transparency, so patients can make informed decisions about how to spend their healthcare dollars. It even features creative strategies for injecting greater choice and competition into the marketplace, such as ending the moratorium on doctor-owned hospitals and giving states greater leeway over the kinds of health plans available to patients. This vision is animated by the recognition that America’s healthcare system provides the most innovative, highest-quality care on the planet. We should capitalize on that fact, not throw it away and install the kind of socialized healthcare that has failed patients the world over.

The Commitment to America goes a long way toward defining how Republicans differ from Democrats on healthcare. And it could give the GOP an advantage this November.

CLICK HERE TO READ MORE FROM THE WASHINGTON EXAMINER

Sally C. Pipes is president, CEO, and a Thomas W. Smith fellow in healthcare policy at the Pacific Research Institute. Her latest book is False Premise, False Promise: The Disastrous Reality of Medicare for All (Encounter 2020). Follow her on Twitter @sallypipes."
Oct 08 2012,Healthcare Research,Cato Institute,right,http://www.cato.org/health-care,
Date not found,Healthcare.gov,Source not found,not rated,,Text not found
Jul 13 2023,Families and healthcare professionals suing Texas over transgender care for children,ABC13 Houston,center,https://abc13.com/texas-news-politics-senate-bill-14-aclu-lawsuit/13500393,"Families and healthcare professionals suing Texas over transgender care for children

Five families and healthcare professionals are suing Texas over Senate Bill 14, which bans transgender care children.

Five families and healthcare professionals are suing Texas over Senate Bill 14, which bans transgender care children.

Five families and healthcare professionals are suing Texas over Senate Bill 14, which bans transgender care children.

Five families and healthcare professionals are suing Texas over Senate Bill 14, which bans transgender care children.

AUSTIN, Texas (KTRK) -- Five families and healthcare professionals are suing the state of Texas over its ban on what supporters call transgender care for children.

Senate Bill 14 was signed into law in June and goes into effect this fall. The bill opposes any efforts to validate transgender identities.

The lawsuit alleges the ban violates the Texas Constitution by allowing discrimination against a particular group based on sex and transgender identity.

But it's not just families on the lawsuit. Several doctors are joining, claiming that the law interferes with their license and ability to practice medicine.

Texas Gov. Greg Abbott says the puberty blockers and sex change procedures amount to child abuse.

Texas, which is home to one of the largest trans communities in the U.S., has joined 18 other states enacting this ban."
Jun 02 2023,South Carolina chips away at nanny-state healthcare,Washington Examiner,right,https://www.washingtonexaminer.com/news/south-carolina-healthcare-certificate-of-need-henry-mcmaster-hospitals,"South Carolina healthcare providers no longer have to seek permission from the state government to offer new services, expand facilities, or invest in technology.

On May 17, Gov. Henry McMaster (R-SC) signed a repeal of the state’s certificate of need rules. A staple of healthcare regimes in many states, certificate of need laws require a hospital to get government permission before adding beds or a new wing, expanding their offices to include OBGYN services, or procuring ultrasound transducers, among others.

WHO’S IN, WHO’S OUT, AND WHO’S STILL WAITING TO ANNOUNCE FOR SENATE IN 2024

Certificate of need regulations were put in place by the federal government in the 1970s. The goal is to promote cost containment and prevent unnecessary duplication of healthcare facilities and services. But problems with these rules have been apparent almost from the start, with a growing list of bureaucratic rules quickly burdening hospitals, doctors, and other healthcare providers. By 1986, with evidence piling up showing certificate of need laws were ineffective, the federal government repealed the mandate.

In response, a handful of states did away with their certificate of need laws. But the bulk of states kept them in place. Today, 34 states and the District of Columbia still have certificate of need laws on the books, in full or in part. That’s necessary, say certificate of need supporters, because they help constrain healthcare costs and provide fairer access to facilities.

South Carolina’s repeal, though, highlights criticism of this approach, and it could be an inspiration to other states considering lifting certificate of need laws, particularly following the COVID-19 pandemic in states where more significant percentages of the population live in rural areas.

According to the American Hospital Association, 136 rural hospitals closed between 2010 and 2021. Six of those hospitals were in South Carolina. To reverse this trend, and help rural hospitals achieve financial stability, the AHA called for “flexible models of care,” along with a “decreased regulatory burden,” among other solutions.

Moreover, states with certificate of need laws still on the books have a range of healthcare problems, according to a 2021 study by the Mercatus Center at George Mason University, including rising healthcare costs and fewer hospitals overall.

According to Mercatus, rural states with certificate of need laws have 13% fewer rural hospitals than those with such laws and 30% fewer hospitals overall for every 100,000 residents. A separate study found states with certificate of need laws have 99 fewer hospital beds per 100,000 people than those states without.

A Mercatus analysis found that South Carolina, by repealing its certificate of need laws, will increase the total number of hospitals from 82 to 116 and, perhaps more importantly, grow the number of rural hospitals in the state from 21 to 30. That would be a significant rise since eight Palmetto State counties out of 46 do not have a hospital.

State Sen. Wes Climer, the lead sponsor of the certificate of need repeal law, said in a statement it would have a prompt impact.

“Over the last, I think, five or six years, certificate of need has been used to block over $400 million in healthcare investment in South Carolina,” Climer said. “So, there’s a lot of pent-up demand for healthcare investment in our state.”

In a statement released after signing the bill, McMaster said, “South Carolinians will have greater access to affordable health care services with the repeal of the Certificate of Need laws. Everyone benefits when the proven power of the free market is unleashed in our state.”

CLICK HERE TO READ MORE FROM THE WASHINGTON EXAMINER

The repeal of the certificate of need law in South Carolina represents a significant shift in the state’s healthcare policy. It’s one likely to appear more attractive to governors and legislators in other states as they evaluate the advantages and disadvantages of certificate of need laws.

The only other option is to continue living with laws that stifle innovation, expansion, and investment, which leads to fewer choices and lower quality of care for patients, critics say. Several states are considering proposals such as the South Carolina repeal law. If they follow through, proponents say the future of healthcare regulation in the United States is likely to prioritize market dynamics, consumer choice, and improved access to care."
Jul 14 2023,Families ask judge to block Texas transgender healthcare law,Dallas-Fort Worth News,not-yet-rated,https://nbcdfw.com/news/local/texas-news/families-ask-judge-to-block-texas-transgender-healthcare-law/3296126,"Texas News

News from around the state of Texas."
Jul 10 2023,HCA Healthcare reports data breach that exposed patient information,MarketWatch,center,https://marketwatch.com/story/hca-healthcare-reports-data-breach-that-exposed-patient-information-73f3605c,Failed to retrieve text: Article `download()` failed with 401 Client Error: HTTP Forbidden for url: https://www.marketwatch.com/story/hca-healthcare-reports-data-breach-that-exposed-patient-information-73f3605c on URL https://marketwatch.com/story/hca-healthcare-reports-data-breach-that-exposed-patient-information-73f3605c
Mar 22 2023,Gov. Gordon outlines strategy for healthcare improvement,The Wyoming Tribune Eagle,center,https://wyomingnews.com/news/local_news/gov-gordon-outlines-strategy-for-healthcare-improvement/article_14a4e856-c837-11ed-9200-c7bd35eb1401.html,Failed to retrieve text: Article `download()` failed with 429 Client Error: Too Many Requests for url: https://wyomingnews.com/news/local_news/gov-gordon-outlines-strategy-for-healthcare-improvement/article_14a4e856-c837-11ed-9200-c7bd35eb1401.html on URL https://wyomingnews.com/news/local_news/gov-gordon-outlines-strategy-for-healthcare-improvement/article_14a4e856-c837-11ed-9200-c7bd35eb1401.html
May 19 2023,AG delays enforcement of OK transgender healthcare ban.,The Oklahoman,center,https://oklahoman.com/story/news/politics/government/2023/05/19/attorney-general-will-delay-enforcement-of-ban-on-transgender-health-care/70235137007,"Oklahoma's attorney general has agreed to delay enforcement of a new ban on transgender health care for minors while a preliminary hearing in a federal lawsuit is pending.

Oklahoma Attorney General Gentner Drummond said the agreement ""simply allows more time to mount the strongest possible defense"" and ""should in no way be interpreted as a concession of any kind,"" according to a court motion and statement.

But the governor's office strongly rebuked Drummond's decision and vowed to halt all transgender surgeries for minors.

Drummond's agreement is ""disgusting and shameful,"" Gov. Kevin Stitt's communications director, Carly Atchison, tweeted Thursday evening shortly after the motion was filed in a Tulsa federal court.

Friday morning, during his weekly news conference, Stitt said he was ""disappointed and confused"" by Drummond's decision.

""Let me be very clear, Senate Bill 613 was passed, I signed it, and I will not allow transgender surgeries to happen to minors in the state of Oklahoma,"" Stitt said. ""I just think we have an obligation or duty to protect young people.""

Earlier this month, Stitt signed Senate Bill 613, which immediately banned gender transition surgeries, along with a six-month phase-out of other drug and hormone treatments.

Stitt acknowledged ""maybe there's a legal argument"" for Drummond's decision. But he continued to wrongly accuse the attorney general of agreeing with the lawsuit.

""We knew (the) ACLU is going to sue on anything that is (for) traditional family values or freedoms or, you know, anything that we're for they're against,"" Stitt said. ""So we knew we'd get sued on that and (for Drummond) to agree with that lawsuit ... is super disappointing.""

Asked to respond to Stitt's comments, Drummond's office reiterated that delaying enforcement was a legal strategy and not an agreement with the lawsuit.

“The attorney general’s office continues to fulfill its duty to defend Senate Bill 613. A temporary stay of enforcement simply allows more time to mount the strongest possible defense,"" Drummond's office said in an emailed statement.

The ACLU of Oklahoma, which is representing multiple Oklahoma families in the lawsuit, said the delayed enforcement agreement allows families to still access important health care services.

“We welcome this opportunity to preserve the rights of transgender adolescents and their families to access medically necessary health care while our challenge proceeds,"" the ACLU said Thursday in a joint statement with other attorneys representing the plaintiffs.

More:Five transgender youths file lawsuit, saying Oklahoma health care ban is unconstitutional

Five Oklahoma transgender youths and their families, along with an Oklahoma doctor, sued the state over the ban, claiming their ability to make their own health care decisions allowed youth to flourish in life.

The attorney general's agreement to delay enforcement was announced Thursday in a joint motion filed in a Tulsa federal court. The motion also requested more time for the defendants in the case to file a response before a preliminary hearing."
Mar 23 2017,Healthcare Vote,"John Gable, AllSides Co-founder",right,,Text not found
