state,weighted_sentiment_score,comment_count
Alabama,-0.38774621472460963,242.0
Arkansas,-0.15263777799133596,130.0
California,-0.23752413798836552,2331.0
Colorado,-0.2924423584579758,369.0
Connecticut,-0.3336840148517338,1043.0
Delaware,-0.4027029183629441,136.0
Georgia,-0.5588368745069836,237.0
Hawaii,-0.22365016483609587,479.0
Idaho,-0.4127858102187832,161.0
Indiana,-0.4348836034210653,264.0
Iowa,-0.5854733853872225,864.0
Kentucky,-0.36781053499837313,264.0
Louisiana,-0.20468483436852694,110.0
Maine,-0.3451087861684205,831.0
Michigan,-0.4920713201398659,1048.0
Montana,-0.5237995613496969,80.0
Nebraska,-0.331015208172142,62.0
Nevada,0.1444278880460373,35.0
NewMexico,-0.3488666565250285,119.0
NorthCarolina,-0.489520197154544,1021.0
Ohio,-0.48048284926494966,397.0
Oklahoma,-0.213452233457897654,250.0
Pennsylvania,-0.34659531616112765,359.0
RhodeIsland,-0.2352475495878346,183.0
SouthDakota,-0.21451330875095567,33.0
Tennessee,-0.4112282404139466,129.0
Texas,-0.3762970575734882,4472.0
Utah,-0.09931233838070239,76.0
Virginia,-0.4010569830771583,385.0
Washington,-0.46535240021395075,160.0
WestVirginia,0.07842780262098184,81.0
alaska,-0.3756492245138135,76.0
arizona,-0.3898988722135475,164.0
florida,-0.5241021605241181,665.0
illinois,-0.47619848373981294,337.0
kansas,-0.39342012599632104,265.0
maryland,-0.41565712848320385,790.0
massachusetts,-0.31229016814743066,474.0
minnesota,-0.3169809926952937,1683.0
mississippi,-0.3813835979712941,152.0
missouri,-0.436864064348755,144.0
newhampshire,-0.4112062355703559,371.0
newjersey,-0.35018498761274847,2280.0
newyork,-0.44533269582637425,197.0
northdakota,-0.45014116033827833,119.0
oregon,-0.4299791274493017,553.0
southcarolina,-0.34438613613256425,79.0
vermont,-0.4136961071150643,312.0
wisconsin,-0.39605575657697784,613.0
wyoming,-0.1178748963715194,34.0
