Date,Title,News Source,Bias Rating,Full Article Link,Article Text
Feb 14 2024,GA Sending Troops To Face Immigration 'Crisis' In TX: Kemp,Patch.com,center,https://patch.com/georgia/atlanta/ga-sending-troops-face-immigration-crisis-tx-kemp,"Politics & Government GA Sending Troops To Face Immigration 'Crisis' In TX: Kemp It is unknown how many guardsmen will be deployed, but Gov. Brian Kemp's office said the expected timeline for deployment is in the spring.

Georgia Gov. Brian Kemp speaks at a press conference at the Capitol in Atlanta, Tuesday, Feb. 13, 2024, announcing a plan to send National Guard troops to Texas along the U.S.-Mexico border. (Matthew Pearson/WABE via AP)

ATLANTA, GA — Additional Georgia National Guard troops are being deployed to the nation's southern border in Texas to help hinder ""the free flow of illegal migrants"" into the U.S., Gov. Brian Kemp announced Tuesday.

It is unknown how many guardsmen will be deployed, but Kemp's office said the expected timeline for deployment is in the spring. The troops will be skilled in engineering, mechanical and general purpose skills. ""While deployed, they will assist in the construction of a forward command post on the Texas border with Mexico. Georgia Guard leadership will work closely with Texas Guard leadership in the coming weeks to tailor the mission in accordance with Texas' official request for assistance and the evolving conditions on the border,"" Kemp's office said.

The deployment, which will be known as Operation Lone Star, comes after Kemp traveled to the border in early February. He called the situation at the border ""a crisis."" Georgia guardsmen have spent the longest period of time at the border compared to any other state, Kemp's office said. He first deployed the troops in 2019 to the border.

The state is also now part of the American Governors' Border Strike Task Force. The effort partners together multiple states to disassemble ""criminal organizations by increasing communication, improving intelligence, investing in analysis, combating human smuggling and stopping the flow of drugs into states,"" Kemp's office said. Suggesting he is keeping the safety of Americans in mind, Kemp said Georgia fully supports Texas in its attempt to secure the southern border and will offer more resources to Texas, if necessary.

Kemp's office claims at least 8.5 million illegal immigrants have come into the U.S. in recent years. Texas guardsmen have seized more than 56,000 pounds of meth, at least 458 million doses of fentanyl and more than $51 million in currency, his office said.

It is unknown how long the Georgia troops will be deployed."
Feb 18 2024,Debate over Law SB4: Attempts to Suspend Immigration Law in Texas,Alaska Commons,center,https://alaskacommons.com/debate-over-law-sb4-attempts-to-suspend-immigration-law-in-texas/129923,"The federal government was in a court in Austin, Texas, seeking to suspend the application of the SB 4 law, which gives the state power to arrest undocumented immigrants and Texas judges to issue expulsion orders. This is despite the fact that immigration has belonged to the federal government and not to each state. The federal government filed a motion to obtain a permanent suspension order, with the hearing taking place on February 15 with Judge David A. Ezra. The judge commented that he will make a decision on SB 4 before it goes into effect on March 5, 2024.

The United States Congress aimed for the federal government to control the entry and expulsion of non-citizens, they argued in their petition to suspend SB 4. “Immigration, foreign relations and the control of an international border” are federal interests, and SB 4 would be directly interfering in them. The law gives Texas the power to control immigration, similar to what Arizona wanted to do more than a decade ago. However, the Supreme Court of Justice in 2012 ruled in favor of the federal government, arguing that this immigration power does not belong to each state.

The United States argues that Texas’s SB 4 law creates a conflict between the country and the relations it has with Mexico. For example, SB 4 gives permission to state judges to expel immigrants to Mexico, without considering whether this country would accept them. The federal government maintains that SB 4 goes against the constitution because the application of these immigration laws corresponds to the federation. According to United States precedents, it is against the interests of citizens to be applying laws that go against the constitution.

The federal government’s petition argues that SB 4 violates the Foreign Trade Clause that the United States has. Within the country’s Trade Clause, the “movement of people” is contemplated, which includes undocumented immigrants who are workers and cross into the United States, affecting interstate commerce. The law discriminates against foreign trade on its face: it only penalizes the movement of non-citizens across an international border into Texas, even imposing expulsion as a penalty.

Under SB 4, immigrants cannot be arrested in public places such as schools, hospitals, or churches. However, if you are taking another person for medical treatment, they could face consequences if the police want to stop them. SB 4 does not contemplate universities, which could also represent risks for those who are studying. The Texas law is the strongest nationally against immigrants, as it allows officers to arrest those they suspect are undocumented. However, groups opposed to SB 4 say that this opens the door to racial discrimination, because any suspicion of being an immigrant could lead to the arrest of immigrants.

SB 4 does not say where in Texas it will be applying. Some politicians have mentioned that it could only apply near the border, but the law is not clear and does not say where it would be carried out. SB 4 collides with federal law, which contemplates that there people who request their right to seek asylum in the United States. SB 4 does not contemplate it, so the highest courts will have to come in to make a decision. “Any person is subject to abuse and arrests,” says a lawyer. “That they deprive you of your freedom, of your rights, which are guaranteed to you by the Constitution of the United States, simply because someone thinks that you are illegal here.”

Image Source: www.univision.com

Politics, Immigration, Law"
Feb 03 2024,They protest at the southern border of the US against immigration,California 18,center,https://california18.com/they-protest-at-the-southern-border-of-the-us-against-immigration/12013372024,"EAGLE PASS — In trucks, vans and mobile homes, hundreds of people began to arrive at the southern tip of the United States to demonstrate this Saturday against the immigration “invasion” that they say is affecting the country and to “recover” the border.

The caravan of vehicles arrived at a ranch in Quemado, a Texas town of 162 inhabitants, with rustic houses scattered in the middle of the valley through which the Rio Grande or Rio Grande runs, the natural border between the United States and Mexico.

Thousands of migrants cross that river every month, undertaking long journeys from Central and South America fleeing poverty and in search of better living conditions in the United States, a key issue in the debate of the November presidential elections.

And it is on the banks of that river where the activists who call themselves “We the People” decided to meet (“We the People”, as the preamble to the US Constitution begins).

Days before, one of the organizers of the event stated that the participants were “God’s Army.”

Under the motto “Take our border back,” these activists began convoys this past week from different parts of the country to towns on the southern border to camp there this weekend.

“The migration at the border is out of control. We are being invaded and, we need to control what is happening,” said Robyn Forzano, 43, who controls access to the ranch in Texas.

Vans arrive with flags of support for former president Donald Trump, Republican favorite for the November presidential elections, and with slogans rejecting the Democratic ruler Joe Biden, who will try for a new term.

“Heaven has walls, hell has open borders,” reads one activist’s sign.

“disaster zone”

“When you go to Mexico, there are fantastic people, but it seems that when they cross over to this side, … they commit robberies,” says Marty Bird, 73, in Eagle Pass.

This city about 30 kilometers from Quemado is the epicenter of a conflict between Texas Governor Greg Abbott and the Biden administration.

The federal government is suing Abbott for taking military control of Shelby Park, which has an access ramp to the river, and for laying barbed wire on the riverbank.

In mid-January, the Biden government reported that Texan soldiers prevented border police, under federal jurisdiction, from accessing the park to rescue three migrants who drowned. Texas rejected the accusation.

Biden took the case all the way to the Supreme Court, which authorized border police to cut the barbed wire fence. But the governor has opposed and has put up more fences.

With a kayak rental business on that river, Jessie Fuentes is directly affected by the situation: “That river today is a disaster zone (…) The park is becoming a military base.”

Alejandro Mayrkas, federal secretary of Homeland Security, said Friday that the governor’s actions were “inadmissible.” The official faces impeachment in Congress, accused of promoting the immigration crisis with his policies.

Eagle Pass, which has about 30,000 residents, has become a major corridor for illegal crossings in recent years, prompting Abbott to focus his attention there. The community is located in the Border Patrol sector of Del Rio, Texas, which is typically the busiest of the agency’s nine divisions on the border.

No migrants were seen in the grassy fields of Shelby Park on Friday as Texas National Guard troops unwound razor wire over containers that dot the riverbank. According to the mayor, about 200 people arrived the day before, a figure much lower than those registered in December.

At a ranch outside Eagle Pass where Abbott supporters gathered before Saturday’s rally, vendors sold hats and flags inspired by Donald Trump’s MAGA movement. A homemade sign read: “The federal government has lost its way. Their job is to protect the states.”

Source: With information from AFP and AP"
Feb 29 2024,Senate passes bill requiring Iowa businesses to check immigration status of new hires with E-Verify,Iowa Public Radio,center,https://iowapublicradio.org/state-government-news/2024-02-29/senate-passes-bill-requiring-iowa-businesses-to-check-immigration-status-of-new-hires-with-e-verify,"Failed to retrieve text: Article `download()` failed with HTTPSConnectionPool(host='iowapublicradio.org', port=443): Max retries exceeded with url: /state-government-news/2024-02-29/senate-passes-bill-requiring-iowa-businesses-to-check-immigration-status-of-new-hires-with-e-verify (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x78749866d8d0>: Failed to establish a new connection: [Errno 111] Connection refused')) on URL https://iowapublicradio.org/state-government-news/2024-02-29/senate-passes-bill-requiring-iowa-businesses-to-check-immigration-status-of-new-hires-with-e-verify"
Feb 05 2024,House Speaker: Senate Immigration Bill 'Dead on Arrival',HotAir,right,https://hotair.com/headlines/2024/02/05/house-speaker-senate-immigration-bill-dead-on-arrival-n609710,"The deal, which aimed to balance enhanced border protection with reforms to immigration policy, was expected to encounter some resistance. However, Speaker Johnson’s outright dismissal of the entire package showcases the deep divisions and challenges that lie ahead for any form of comprehensive legislation in this area.

Advertisement

Opponents of the deal, including Speaker Johnson, are likely to raise concerns over specific provisions within the proposal, deeming them inadequate or misaligned with their vision for the nation’s border strategy. These stark differences in opinion signal serious hurdles in achieving a bipartisan resolution to this longstanding debate.

[We will have plenty of coverage and debate over this bill today at Hot Air. Jazz already has a strong critique of the bill up now, and Duane Patterson has more upcoming in an exclusive analysis for our VIP/VIP Gold members. Now’s a good time to sign up! — Ed]"
Feb 21 2024,Paxton Sues El Paso Catholic Non-Profit For Allegedly Facilitating Illegal Immigration,The Texan,right,https://thetexan.news/issues/immigration-border-issues/paxton-sues-el-paso-catholic-non-profit-for-allegedly-facilitating-illegal-immigration/article_a21f3124-d0e6-11ee-a68d-9f4df3d22bc5.html,Failed to retrieve text: Article `download()` failed with 429 Client Error: Too Many Requests for url: https://thetexan.news/issues/immigration-border-issues/paxton-sues-el-paso-catholic-non-profit-for-allegedly-facilitating-illegal-immigration/article_a21f3124-d0e6-11ee-a68d-9f4df3d22bc5.html on URL https://thetexan.news/issues/immigration-border-issues/paxton-sues-el-paso-catholic-non-profit-for-allegedly-facilitating-illegal-immigration/article_a21f3124-d0e6-11ee-a68d-9f4df3d22bc5.html
Feb 29 2024,"In clash over immigration, Biden and Trump both bound for the U.S.-Mexico border today  – Pennsylvania Capital-Star",Pennsylvania Capital-Star,right,https://penncapital-star.com/election-2024/in-clash-over-immigration-biden-and-trump-both-bound-for-the-u-s-mexico-border-today,"Surrogates for President Joe Biden dismissed former President Donald Trump’s scheduled visit to the U.S.-Mexico border Thursday as a political stunt, adding that the likely Republican presidential nominee was exploiting an issue that he has shown no desire to fix.

Illinois Gov. J.B. Pritzker and U.S. Rep. Robert Garcia of California, both Democrats, told reporters on a Wednesday conference call organized by the Biden reelection campaign that Trump’s record — recently and throughout his public life — showed he was anything but serious about addressing the myriad issues resulting from a recent surge in migration across the southern border.

Trump is scheduled to visit the border town of Eagle Pass, Texas, on Thursday to call attention to Biden’s record on border security.

Biden separately will pay a visit to Brownsville, about 300 miles southeast of Eagle Pass.

Trump has no credibility on immigration after tanking a bipartisan agreement to strengthen border enforcement, Pritzker and Garcia said Wednesday. Trump reportedly asked Republicans in Congress not to support the deal to avoid handing Biden a victory in an election year, they noted.

“Republicans frankly just do not care about solving the challenges facing this country,” Pritzker said. “They only care about saving their own skin. This could have been a press call touting a bipartisan path forward. Instead, Donald Trump wanted a campaign slogan.”

In a campaign statement Wednesday, Trump commended his own record on immigration, noting he signed executive orders calling for a wall on the southern border, declaring a national emergency on the border and sending police and military resources to the region.

Trump “created the most secure border in history,” the statement said, and would reinstate several policies that Biden dropped.

Trump would end a policy that allows migrants to live freely in a U.S. community as they await immigration hearings, cease birthright citizenship for the children of migrants in the country without legal authorization — even though an amendment to the U.S. Constitution is interpreted to guarantee that right — and use the military to combat drug cartels, the statement said.

Trump said in a speech to the Conservative Political Action Conference, or CPAC, on Saturday that he would seek to enact the “largest deportation in the history of our country” if elected.

“The first and most urgent action when we win will be the sealing of the border, stopping the invasion, drill baby drill, send Joe Biden’s illegal aliens back home,” Trump said. “We’ll do all of those things and we’re gonna have to do them fast because no country can sustain what’s happening in our country.”

Garcia, who immigrated to the country as a child, said Trump’s history of racist rhetoric showed he had misplaced priorities on immigration policy.

Trump has used what critics say are racist generalizations of immigrants since his entrance into national politics, a 2015 speech announcing his first White House run in which he made derogatory comments about immigrants from Mexico.

Trump believes “preying on immigrants is his path to reelection,” Garcia said.

“This is a cruel man with a cruel agenda,” he said.

Trump’s “extremism” on immigration would go even further than in his first term, Garcia said.

The former president has talked about returning to the family separation policy at the border, which attracted major controversy in his first term, has expressed support for ending birthright citizenship and said he would act as a dictator for the first day of a potential second term to enact extreme border policies, Garcia said.

Trump and other Republicans have harshly criticized the Biden administration’s approach to immigration, with House Republicans impeaching Homeland Security Secretary Alejandro Mayorkas this month over his supposed failure to enforce immigration laws.

Garcia called Trump’s approach to the issue “fearmongering.”

“Donald Trump doesn’t give a damn about border security,” he said. “All he cares about is stirring up pain, stirring up division.”"
Feb 19 2024,Interfaith leaders denounce anti-immigration rhetoric after neo-Nazi march in Nashville,The Tennessean,center,https://tennessean.com/story/news/politics/2024/02/19/nashville-nazi-march-interfaith-leaders-slam-anti-immigrant-rhetoric/72658293007,"A group of interfaith leaders and Nashville politicians denounced a white supremacist march held downtown on Saturday while decrying anti-immigration rhetoric they say has emboldened dangerous racist views.

More than two dozen marchers, the majority of whom hid their faces with full masks, unfurled swastika flags amid Nazi salutes and repeated chants of ""Save the white man"" and ""Deport every Mexican.""

Rep. Justin Jones, D-Nashville, and his chief of staff, Chandler Quaile, were leaving a downtown event Saturday honoring an historic Black sorority when they heard the group yelling. Quaile, who has Jewish and Mexican grandparents, recorded the group as it marched down the street.

""I began to cry because these are the types of people and ideologies that wiped out my ancestors, that reminded my grandparents every day that this country would never be their country, that they didn't belong, that they had no place here,"" Quaile said at a Monday news conference outside the Capitol. ""It's the type of ideology that made them hide being Jewish and hide being Mexican, because it was too scary to confront the reality that in America, a hate crime is always one moment away.""

The march sparked widespread, bipartisan condemnation over the weekend for its anti-Semitic imagery. Alongside immigrant advocate groups and faith leaders, Metro Nashville Council member Zulfat Suara and Jones said Monday recent Republican rhetoric likening immigration border issues to an ""invasion"" emboldened white supremacists.

""What we witnessed was the direct result of politicians spreading misinformation and hate messages about immigrants,"" said Tessa Lemos Del Pino, executive director of Tennessee Justice for Our Neighbors.

The marchers' red shirts included the words ""Blood Tribe."" The white supremacist hate group displays Nazi imagery and holds virulent anti-Semitic views. It also often focuses on ""hypermasculinity,"" according to the Anti-Defamation League, and has targeted LGBTQ groups in previous public demonstrations, referring to LGBTQ groups as ""pedophiles.""

On Monday, a number of Republican leaders in Tennessee were among a bipartisan group that continued to denounce the marchers and what they stood for, including House Speaker Cameron Sexton, R-Crossville, and Lt. Gov. Randy McNally, R-Oak Ridge.

""Our nation spent significant blood and treasure during WWII to rid the world of the wicked and murderous ideology of Nazism,"" McNally said on social media. ""To see this hate resurface on the streets of our state Capitol was horrific. Those thugs do not represent TN values and they are not welcome here — ever."""
Feb 21 2024,Texas AG Ken Paxton Sues El Paso Nonprofit For Alleged ‘Efforts to Facilitate Illegal Immigration’,The Epoch Times,right,https://theepochtimes.com/us/texas-ag-ken-paxton-sues-el-paso-nonprofit-for-alleged-efforts-to-facilitate-illegal-immigration-5591915,"The attorney general filed the lawsuit after the Catholic organization ’refused' to release documentation about the clients it serves.

Texas Attorney General Ken Paxton has filed a lawsuit to shut down operations of a nongovernmental organization (NGO) in El Paso that provides housing and other services for illegal immigrants.

Earlier this month, the Consumer Protection Division of the attorney general’s office opened an investigation into the Annunciation House, a Catholic nonprofit in El Paso, after reviewing public records that indicated possible legal violations, including “facilitating illegal entry to the United States, alien harboring, human smuggling, and operating a stash house,” according to the lawsuit

“The chaos at the southern border has created an environment where NGOs, funded with taxpayer money from the Biden Administration, facilitate astonishing horrors, including human smuggling,” Mr. Paxton said in a Feb. 20 statement . “While the federal government perpetuates the lawlessness destroying this country, my office works day in and day out to hold these organizations responsible.”

On Feb. 7, the Office of the Attorney General (OAG) requested documentation from Annunciation House to examine its operations and the clients it serves. It was allowed one day to turn over the requested documentation.

The attorney general’s “demand for ‘immediate access’ was not made in a vacuum,” the court document reads.

“Rather, OAG agents were monitoring Annunciation House during the period leading up to the Request to Examine.

“Those observations showed that Annunciation House operates in an unusually covert way, raising concerns about how truthful it would be in a document production.”

Annunciation House declined The Epoch Times’ request for comment on the lawsuit.

The NGO asked the state for a 30-day extension to turn over documents, which the state denied. The organization then filed a lawsuit against the attorney general, requesting a temporary restraining order to delay the attorney general’s request.

“Annunciation House asked a Court to decide what documents the law permits the Attorney General to access,” the nonprofit wrote in a Feb. 21 statement on its website. “There is nothing illegal about asking a Court to decide a person’s rights.”

Annunciation House also stated that it has “provided hospitality to hundreds of thousands of refugees” since it began its operations in the 1970s. Failure to Comply Under Texas law, organizations failing to comply with an investigative request by the attorney general’s office forfeit the right to do business in the state, according to the lawsuit.

Therefore, the OAG has asked the court for “permanent injunctive relief prohibiting Annunciation House from transacting any business in Texas.”

“The AG has now made explicit that its real goal is not records but to shut down the organization,” Annunciation House said in the statement. “It has stated that it considers it a crime for a catholic organization to provide shelter to refugees.”

The organization went on to say that its work is “recognized by the Catholic Church” and that Mr. Paxton’s “position to shut down Annunciation House is unfounded.”

“Annunciation House’s response to the stranger is no different from that of the schools who enroll children of refugees, the clinics and the hospitals who care for the needs of refugees, and the churches, synagogues and mosques who welcome families to join in worship,” the statement reads.

The organization also stated that it has kept “hundreds of thousands of refugees” passing through El Paso “off the streets.”

“If the work that Annunciation House conducts is illegal—so too is the work of our local hospitals, schools, and food banks,” it stated.

The organization stated that it would offer more information during a press conference scheduled for 11 a.m. MST on Feb. 23."
Jan 29 2024,When Immigration Becomes the Most Important Issue in America,Dan Schnur,center,,Text not found
