state,weighted_sentiment_score,comment_count
Alabama,-0.19399540284174985,87.0
Arkansas,-0.15884753690225206,42.0
California,0.022265026059288245,47.0
Colorado,0.11311775150377888,34.0
Connecticut,-0.38869907674953386,75.0
Delaware,0.14211322187531925,18.0
Georgia,-0.2343345390840837,42.0
Hawaii,0.07266181358199678,59.0
Idaho,-0.5666493317910604,23.0
Indiana,-0.3852321012098281,51.0
Iowa,-0.3556082834400516,71.0
Kentucky,-0.5007444528016177,72.0
Louisiana,0.2720203985293359,43.0
Maine,-0.06692976403319462,87.0
Michigan,-0.10461027294718138,171.0
Montana,0.022011178235212963,10.0
Nebraska,-0.5556599122506601,7.0
Nevada,0.3222236952611378,11.0
NewMexico,0.6690489090979099,5.0
NorthCarolina,-0.2781907378150214,166.0
Ohio,-0.26429118274336505,83.0
Oklahoma, -0.34200167812345562,120.0
Pennsylvania,-0.3611512576211083,90.0
RhodeIsland,-0.20136159103601536,30.0
SouthDakota,-0.16555635947734118,16.0
Tennessee,-0.3171984632737445,45.0
Texas,-0.2725977736116886,257.0
Utah,0.08481785899775039,59.0
Virginia,0.1986314282958744,83.0
Washington,-0.5590659007430077,17.0
WestVirginia,-0.012582294352642902,23.0
alaska,-0.42410226819220553,13.0
arizona,-0.11249592403570811,18.0
florida,-0.19710063137287318,85.0
illinois,-0.2553320478552891,115.0
kansas,0.22390122980551613,84.0
maryland,-0.2148278188287166,40.0
massachusetts,0.3663428854067009,41.0
minnesota,-0.15762928615208543,123.0
mississippi,-0.1290413396699088,34.0
missouri,-0.10001342887637996,61.0
newhampshire,-0.24699159486759345,33.0
newjersey,-0.37973517669520923,193.0
newyork,-0.15704131871461868,4.0
northdakota,-0.4595965383908687,25.0
oregon,-0.004994817036334599,90.0
southcarolina,-0.7058238259236292,21.0
vermont,-0.3193813316838842,43.0
wisconsin,-0.1494164587937744,119.0
wyoming,-0.17295100964322874,33.0
