Date,Title,Bias Rating
Feb 24 2024,Ukraine Can’t Win the War,left
Mar 07 2024,Ukraine war: Eastern residents brace for Russian advance,center
Feb 11 2024,"A-Z Of Ukraine War, Two Years On",center
Feb 11 2024,Two Years Of War In Ukraine: Territorial Control,center
Feb 24 2024,What has two years of war cost Ukraine and Russia?,center
Mar 11 2024,Pope provokes outrage by saying Ukraine should ‘raise white flag’ and end war with Russia,left
Feb 17 2024,"After Two Years Of War, Ukraine Still Has A Thousand Tanks",center
Mar 04 2024,Air Force employee charged with sharing classified info on Russia's war with Ukraine on dating site,left
Mar 04 2024,Air Force employee charged with sharing classified info on Russia’s war with Ukraine on dating site,center
Feb 12 2024,Trump doubles down on war with NATO — and thinks Ukraine is already a member,left
Dec 30 2023,Russian salvo largest yet in Ukraine war,left
Dec 29 2023,Russia hammers Ukraine with biggest barrage of the war,left
Feb 12 2024,Lloyd Austin scraps trip to Brussels to discuss Ukraine war after hospitalization,right
Feb 23 2024,U.S. issues hundreds of new Russia sanctions over Alexey Navalny's death and war in Ukraine,left
Feb 06 2024,Tucker Carlson Says He’ll Interview Putin About Ukraine War,left
Dec 16 2023,And the Winner from Putin’s War on Ukraine Is … Azerbaijan,left
Feb 05 2024,Zelenskyy signals a shakeup of Ukraine’s military leadership is imminent at a critical point in war,left
Dec 04 2023,Ukraine War Slips Toward Violent Stalemate,center
Jan 19 2024,Ukraine war: Russian oil depot hit in Ukrainian drone attack,center
Nov 15 2023,Misinformation Resource Guide: The Russia-Ukraine War,not rated
Mar 13 2024,Putin warns the West: Russia is ready for nuclear war,center
Dec 29 2023,Ukraine war: At least 30 killed in biggest Russian bombardment yet,center
Dec 29 2023,Russia launches what Ukraine is calling the biggest aerial barrage of the war,left
Jan 27 2024,Republicans holding up aid for Ukraine could end with US troops at war in Europe: Jeffries,right
Oct 26 2023,Ukraine war: Russia goes back to prisons to feed its war machine,center
Mar 13 2024,U.S. scrounges $300M in arms for Ukraine,left
Mar 07 2022,War in Ukraine,not rated
Dec 30 2023,"Russia's biggest air attack of war kills 31 in Ukraine, officials say",center
Mar 14 2024,Johnson signals shift on Ukraine to GOP senators,center
Jan 24 2024,Russian transport plane crashes near Ukraine with more than 60 Ukrainian prisoners of war aboard,right
Feb 08 2024,Vladimir Putin tells Tucker Carlson that invasion of Ukraine is still ‘a civil war’ in wide-ranging two-hour interview,right
May 10 2022,Is Ukraine's War Now America's War?,right
Dec 30 2023,"Russia launches the biggest aerial barrage of the war and kills 30 civilians, Ukraine says",left
Dec 29 2023,"Russia carries out what Ukraine calls ""most massive aerial attack"" of the war",left
Feb 06 2024,Ukraine war live updates: Tucker Carlson teases interview with Vladimir Putin; Russia launches missiles strikes on major cities,center
Nov 08 2023,"Wars in Israel, Ukraine sharpen GOP focus in third debate",left
Mar 15 2024,"Violence in Syria rises, aid dries up as civil war begins 14th year",right
Mar 07 2023,"The Reality, and the Politics, of the Ukraine War",right
Dec 12 2023,Democrats Use Ukraine War to Push Joe Biden’s Mass Migration Policy,right
Dec 23 2023,Putin may be open to cease-fire with Ukraine after nearly 2 years of war: report,right
Feb 07 2024,The Kremlin says Vladimir Putin just gave his first interview to a Western media figure since the Ukraine War: Tucker Carlson,center
Mar 14 2024,'Star Wars' prop sells for nearly $1M at California auction,left
Jan 19 2024,Ukraine war updates: Drone strikes hit St. Petersburg; Russia rejects U.S. arms control talks,center
Feb 06 2024,Ukraine war live updates: Tucker Carlson reportedly seen leaving Putin's office; tensions rise at Russian-held nuclear plant,center
Mar 12 2024,U.S. announces $300 million in new military aid for Ukraine,left
